day,temp_min,temp_max,summary,precipType,humidity,moon_phase,icon
2015-12-12,11.18,18.36,Parcialmente nublado en la mañana.,rain,0.67,0.03,partly-cloudy-night
2015-12-13,10.43,17.26,Mayormente nublado en la mañana.,rain,0.78,0.07,partly-cloudy-night
2015-12-14,9.98,16.77,Mayormente nublado en la mañana.,rain,0.78,0.1,partly-cloudy-night
2015-12-15,10.09,18.11,Parcialmente nublado en la mañana.,rain,0.69,0.14,partly-cloudy-night
2015-12-16,11.09,20.87,Mayormente nublado en la mañana.,rain,0.53,0.17,partly-cloudy-night
2015-12-17,11.18,19.67,Parcialmente nublado en la mañana.,rain,0.55,0.21,partly-cloudy-night
2015-12-18,9.83,17.97,Parcialmente nublado en la tarde.,rain,0.73,0.25,partly-cloudy-day
2015-12-19,8.32,17.86,Parcialmente nublado en la mañana.,rain,0.73,0.28,partly-cloudy-night
2015-12-20,6.86,16.33,Parcialmente nublado en la mañana.,rain,0.77,0.32,partly-cloudy-night
2015-12-21,8.88,18.06,Mayormente nublado en la mañana.,rain,0.78,0.36,partly-cloudy-night
2015-12-22,9.96,19.79,Despejado durante el día.,rain,0.73,0.4,clear-day
2015-12-23,8.67,17.64,Parcialmente nublado en la mañana.,rain,0.77,0.43,partly-cloudy-night
2015-12-24,9.39,16.97,Parcialmente nublado en la mañana.,rain,0.75,0.47,partly-cloudy-night
2015-12-25,8.39,17.58,Parcialmente nublado en la tarde.,rain,0.74,0.51,partly-cloudy-day
2015-12-26,10.37,19.46,Parcialmente nublado en la mañana.,rain,0.7,0.54,partly-cloudy-night
2015-12-27,10.78,18.56,Parcialmente nublado en la mañana.,rain,0.64,0.57,partly-cloudy-night
2015-12-28,11.13,17.81,Mayormente nublado en la mañana.,rain,0.66,0.6,partly-cloudy-night
2015-12-29,11.02,17.33,Mayormente nublado en la mañana.,rain,0.84,0.64,partly-cloudy-night
2015-12-30,9.19,17.28,Despejado durante el día.,rain,0.77,0.67,clear-day
2015-12-31,10.59,17.77,Mayormente nublado en la mañana.,rain,0.73,0.7,partly-cloudy-night
