id,rank,release_date,movie,category,categoryNice,genres,genre_main,image,link,start_value,production_budget,domestic_gross,worldwide_gross,profit,rating_imdb,rating_rt,rating_higher_imdb,rating_higher_rt,rating_lower_imdb,rating_lower_rt,rating_higher,rating_lower,rating_outlier_between
340,3,2002-08-16,The Adventures of Pluto Nash,biggest_money_losers,Biggest money losers,"Comedy, Action, Sci-Fi",Comedy,theadventuresofplutonash.jpg,http://www.rottentomatoes.com/m/adventures_of_pluto_nash/,0,133288877,5879508,9456839,-123832037,3.8,2.7,0,0,0,0,0,0,0
152,4,2011-03-11,Mars Needs Moms,biggest_money_losers,Biggest money losers,"Animation,Action,Adventure",Animation,marsneedsmoms.jpg,http://www.imdb.com/title/tt1305591/?ref_=nv_sr_1,0,161670179,23057140,42626776,-119043403,5.4,5,0,0,0,0,0,0,0
369,5,1995-12-22,Cutthroat Island,biggest_money_losers,Biggest money losers,"Action, Adventure, Comedy",Action,cutthroatisland.jpg,http://www.rottentomatoes.com/m/cutthroat_island/,0,144354893,15717929,29055066,-115299827,5.6,4.5,0,0,0,0,0,0,0
1196,6,1980-11-19,Heaven's Gate,biggest_money_losers,Biggest money losers,"Adventure, Drama, Romance",Adventure,heavensgate.jpg,http://www.rottentomatoes.com/m/heavens_gate/,0,123947743,9815340,9815881,-114131862,6.8,6.2,0,0,0,0,0,0,0
2465,7,1964-01-01,The Fall of the Roman Empire,biggest_money_losers,Biggest money losers,"Drama, History, War",Drama,thefalloftheromanempire.jpg,http://www.rottentomatoes.com/m/fall_of_the_roman_empire/,0,148097314,37024328,37024328,-111072985,6.7,7.4,0,1,0,0,1,0,0
2191,8,1970-01-01,Darling Lili,biggest_money_losers,Biggest money losers,"Comedy, Drama, Musical",Comedy,darlinglili.jpg,http://www.rottentomatoes.com/m/darling_lili/,0,140178995,31858862,31858862,-108320132,6.2,7.2,0,1,0,0,1,0,0
1567,9,1980-01-01,Lion of the Desert,biggest_money_losers,Biggest money losers,"Biography, Drama, History",Biography,lionofthedesert.jpg,http://www.rottentomatoes.com/m/lion_of_the_desert/,0,108352892,4643695,4643695,-103709197,8.4,7.3,1,1,0,0,1,0,0
1118,10,1982-09-17,Inchon,biggest_money_losers,Biggest money losers,"Drama, History, War",Drama,inchon.jpg,http://www.imdb.com/title/tt0084132/?ref_=fn_al_tt_1,0,113168927,10846100,10846100,-102322827,2.7,3,0,0,0,0,0,0,0
527,11,2000-06-16,Fantasia 2000 (Theatrical Release),biggest_money_losers,Biggest money losers,"Animation, Family, Fantasy",Animation,fantasia2000.jpg,http://www.rottentomatoes.com/m/fantasia_2000/,0,111764733,12718310,12718310,-99046423,7.2,7.1,1,1,0,0,1,0,0
1363,12,1980-08-01,Raise the Titanic,biggest_money_losers,Biggest money losers,"Action, Drama, Thriller",Action,raisethetitanic.jpg,http://www.rottentomatoes.com/m/raise_the_titanic/,0,115655702,20239748,20239748,-95415954,4.7,5.2,0,0,0,0,0,0,0
585,13,2001-02-23,Monkeybone,biggest_money_losers,Biggest money losers,"Animation, Comedy, Fantasy",Animation,monkeybone.jpg,http://www.rottentomatoes.com/m/monkeybone/,0,102752986,7411254,7411254,-95341733,4.7,3.9,0,0,0,0,0,0,0
230,14,1999-08-27,The 13th Warrior,biggest_money_losers,Biggest money losers,"Action, Adventure, History",Action,the13thwarrior.jpg,http://www.rottentomatoes.com/m/13th_warrior/,0,180171305,47131226,88930969,-91240336,6.6,4.6,0,0,0,0,0,0,1
528,15,2005-09-02,A Sound of Thunder,biggest_money_losers,Biggest money losers,"Action, Adventure, Horror",Action,asoundofthunder.jpg,http://www.rottentomatoes.com/m/sound_of_thunder/,0,96922736,2302461,7633212,-89289525,4.2,2.8,0,0,0,0,0,0,1
583,16,1998-10-23,Soldier,biggest_money_losers,Biggest money losers,"Action, Drama, Sci-Fi",Action,soldier.jpg,http://www.rottentomatoes.com/m/1083934-soldier/,0,110146189,21475690,21475690,-88670499,6,3.5,0,0,0,0,0,0,1
523,17,1997-12-25,The Postman,biggest_money_losers,Biggest money losers,"Action, Adventure, Drama",Action,thepostman.jpg,http://www.rottentomatoes.com/m/postman/,0,119455921,26356014,31119944,-88335976,6,3.8,0,0,0,0,0,0,1
368,18,2004-04-09,The Alamo (2004),biggest_money_losers,Biggest money losers,"Drama, History, War",Drama,thealamo.jpg,http://www.rottentomatoes.com/m/general-santa-ana/,0,117864234,28705529,30633634,-87230600,6,5,0,0,0,0,0,0,0
719,19,1991-05-24,Hudson Hawk,biggest_money_losers,Biggest money losers,"Action, Adventure, Comedy",Action,hudsonhawk.jpg,http://www.rottentomatoes.com/m/hudson_hawk/,0,115453134,30584274,30584274,-84868860,5.7,3.7,0,0,0,0,0,0,1
2381,20,1969-01-01,Sweet Charity,biggest_money_losers,Biggest money losers,"Comedy, Drama, Music",Comedy,sweetcharity.jpg,http://www.rottentomatoes.com/m/sweet_charity/,0,135310674,54124270,54124270,-81186404,7,7,0,1,0,0,1,0,0
5225,1,2004-10-08,Primer,low_budget_winners,Low budget winners,"Drama, Sci-Fi, Thriller",Drama,primer.jpg,http://www.rottentomatoes.com/m/primer/,0,8832,535907,1062234,1053402,7,6.6,0,0,0,0,0,0,0
5224,2,1993-02-26,El Mariachi,low_budget_winners,Low budget winners,"Action,Crime,Drama",Action,elmariachi.jpg,http://www.imdb.com/title/tt0104815/?ref_=nv_sr_1,0,11782,3435092,3436789,3425007,6.9,7,0,0,0,0,0,0,0
5198,3,1997-08-01,In the Company of Men,low_budget_winners,Low budget winners,"Comedy,Drama",Comedy,inthecompanyofmen.jpg,http://www.imdb.com/title/tt0119361/?ref_=nv_sr_1,0,37446,4319269,4319269,4281823,7.3,7.9,0,0,0,0,0,0,0
5204,4,1991-08-01,Slacker,low_budget_winners,Low budget winners,"Comedy,Drama",Comedy,slacker.jpg,http://www.imdb.com/title/tt0102943/?ref_=nv_sr_2,0,40554,2164341,2164341,2123787,7.1,7.3,0,0,0,0,0,0,0
5195,5,1994-10-19,Clerks,low_budget_winners,Low budget winners,Comedy,Comedy,clerks.jpg,http://www.imdb.com/title/tt0109445/?ref_=nv_sr_1,0,43499,4951467,6273842,6230344,7.8,7.4,0,0,0,0,0,0,0
5172,6,2001-03-16,Gabriela,low_budget_winners,Low budget winners,"Drama,Romance",Drama,gabriela.jpg,http://www.imdb.com/title/tt0189541/?ref_=fn_al_tt_3,0,68346,3192262,3192262,3123915,6.9,0,0,0,0,1,0,1,1
5171,7,1995-08-09,The Brothers McMullen,low_budget_winners,Low budget winners,"Comedy,Drama,Romance",Comedy,thebrothersmcmullen.jpg,http://www.imdb.com/title/tt0112585/?ref_=nv_sr_1,0,78762,16424168,16424168,16345406,6.6,7.1,0,0,0,0,0,0,0
5165,8,2004-05-07,Super Size Me,low_budget_winners,Low budget winners,"Documentary,Comedy,Drama",Documentary,supersizeme.jpg,http://www.imdb.com/title/tt0390521/?ref_=nv_sr_1,0,82789,14684732,28318770,28235981,7.3,7.7,0,0,0,0,0,0,0
5162,9,1998-07-10,Pi,low_budget_winners,Low budget winners,"Drama,Mystery,Thriller",Drama,pi.jpg,http://www.imdb.com/title/tt0138704/?ref_=fn_al_tt_1,0,100355,4753824,6904619,6804264,7.5,7.3,0,0,0,0,0,0,0
5137,10,2015-07-10,The Gallows,low_budget_winners,Low budget winners,"Horror,Thriller",Horror,thegallows.jpg,http://www.imdb.com/title/tt2309260/?ref_=nv_sr_1,0,100921,22974165,42138609,42037687,4.2,3.2,0,0,1,0,0,1,0
5138,11,2006-09-29,Facing the Giants,low_budget_winners,Low budget winners,"Drama,Sport",Drama,facingthegiants.jpg,http://www.imdb.com/title/tt0805526/?ref_=fn_al_tt_1,0,118705,12082216,12159170,12040465,6.7,4.1,0,0,0,0,0,0,1
5129,12,2012-06-15,Your Sister's Sister,low_budget_winners,Low budget winners,"Comedy,Drama",Comedy,yoursisterssister.jpg,http://www.imdb.com/title/tt1742336/?ref_=nv_sr_1,0,125948,1676672,3243791,3117842,6.7,7,0,0,0,0,0,0,0
5197,13,1972-06-30,Deep Throat,low_budget_winners,Low budget winners,Porn,Porn,deepthroat.jpg,https://en.wikipedia.org/wiki/Deep_Throat_(film),0,144396,259913309,259913309,259768913,5.2,0,0,0,1,1,0,1,1
